Date,Open,High,Low,Close,Volume
2020-01-02,109.520000,111.870000,109.520000,111.620000,1704827
2020-01-03,110.660000,110.810000,108.670000,109.480000,2036380
2020-01-06,108.390000,109.350000,107.350000,108.970000,1690665
2020-01-07,109.520000,110.270000,108.650000,109.670000,2254128
2020-01-08,109.140000,110.320000,107.920000,110.120000,1818646
2020-01-09,111.190000,111.530000,110.890000,111.400000,1735444
2020-01-10,111.270000,111.360000,109.140000,109.140000,2057534
2020-01-13,109.820000,109.970000,108.030000,108.910000,1950968
2020-01-14,108.880000,109.990000,108.250000,109.520000,1620841
2020-01-15,109.310000,109.820000,108.860000,108.890000,1364682
2020-01-16,108.570000,109.200000,108.220000,109.200000,1596188
2020-01-17,109.700000,110.170000,109.460000,110.170000,2426127
2020-01-20,109.780000,110.360000,109.480000,109.910000,1050304
2020-01-21,109.650000,110.490000,109.010000,110.270000,1244010
2020-01-22,110.400000,111.080000,109.100000,109.160000,1710320
2020-01-23,108.690000,109.550000,108.330000,108.760000,1667947
2020-01-24,109.420000,111.570000,109.400000,110.950000,2244963
2020-01-27,109.520000,109.630000,107.880000,108.030000,2696175
2020-01-28,108.670000,108.930000,107.540000,108.540000,1840982
2020-01-29,108.460000,109.780000,108.220000,109.440000,1599366
2020-01-30,108.480000,108.480000,106.710000,107.010000,2039436
2020-01-31,107.160000,107.410000,104.830000,105.040000,2707006
2020-02-03,104.740000,105.490000,104.170000,104.640000,2381787
2020-02-04,105.430000,106.300000,105.060000,106.300000,2333942
2020-02-05,104.600000,107.600000,103.850000,106.990000,3891885
2020-02-06,108.030000,108.140000,105.140000,105.880000,3209423
2020-02-07,105.610000,106.270000,104.950000,105.510000,2464001
2020-02-10,105.220000,105.960000,105.120000,105.510000,1568163
2020-02-11,105.810000,107.110000,104.750000,106.620000,2472888
2020-02-12,106.970000,107.190000,106.160000,106.760000,1609044
2020-02-13,106.330000,106.990000,104.130000,104.400000,2634244
2020-02-14,104.540000,104.930000,103.740000,103.920000,1801701
2020-02-17,103.900000,105.240000,103.680000,105.100000,1254924
2020-02-18,104.070000,104.360000,103.350000,104.090000,1545626
2020-02-19,104.290000,104.680000,103.530000,104.130000,1511304
2020-02-20,104.030000,104.850000,103.510000,103.510000,1559382
2020-02-21,103.080000,103.720000,101.890000,102.630000,2606282
2020-02-24,99.860000,100.120000,97.640000,98.300000,3847769
2020-02-25,98.600000,98.750000,96.430000,96.710000,3390545
2020-02-26,96.010000,96.820000,93.360000,95.970000,5193684
2020-02-27,94.020000,95.020000,92.040000,94.210000,5478110
2020-02-28,90.570000,91.740000,88.570000,90.800000,8886250
2020-03-02,90.600000,92.800000,88.070000,89.280000,6264869
2020-03-03,89.780000,92.050000,88.920000,89.620000,5231469
2020-03-04,89.520000,90.080000,88.680000,89.590000,3976765
2020-03-05,90.020000,90.190000,86.800000,87.760000,4184946
2020-03-06,85.740000,86.780000,84.320000,84.920000,5704584
2020-03-09,77.940000,81.020000,77.000000,78.420000,9682024
2020-03-10,79.430000,82.320000,77.800000,77.920000,8586149
2020-03-11,78.920000,80.410000,77.070000,77.660000,6880594
2020-03-12,74.040000,74.650000,67.800000,67.800000,12147550
2020-03-13,69.840000,73.930000,66.210000,67.800000,10496509
2020-03-16,63.810000,66.710000,60.970000,64.220000,11022132
2020-03-17,67.490000,67.630000,61.870000,65.910000,7881269
2020-03-18,63.330000,63.790000,58.690000,59.310000,7902696
2020-03-19,59.190000,62.840000,57.260000,59.320000,5501206
2020-03-20,62.880000,67.200000,62.630000,65.270000,8720991
2020-03-23,62.350000,68.780000,61.380000,66.160000,5973070
2020-03-24,70.600000,73.810000,69.850000,73.810000,6895731
2020-03-25,75.700000,76.480000,71.260000,74.480000,5656416
