Date,Open,High,Low,Close,Volume,Closen,sma,bbm,bbh,bbl,CCI,CloseOpen_g,rmax,rmin,Close_ah,Close_al,Close_ah_2,Close_al_2,Close_r,Close_f,Close_rp,Closebbh_c,Close_ah100_v,Close_74,vol
2020-01-02,109.52,111.87,109.52,111.62,1704827,110.55,,,,,,1.88,,,,,,,0.00,0.00,,0.00,0,,0.83
2020-01-03,110.66,110.81,108.67,109.48,2036380,109.23,,,,,,-1.08,,,,,,,0.00,109.48,,0.00,0,,0.99
2020-01-06,108.39,109.35,107.35,108.97,1690665,109.32,,,,,,0.53,,,,,,,0.00,108.97,,0.00,0,,0.82
2020-01-07,109.52,110.27,108.65,109.67,2254128,109.90,,,,,,0.14,,,,,,,109.67,0.00,,0.00,0,,1.10
2020-01-08,109.14,110.32,107.92,110.12,1818646,110.76,,,,,,0.89,,,,,,,110.12,0.00,,0.00,0,,0.88
2020-01-09,111.19,111.53,110.89,111.40,1735444,110.27,,,,,,0.19,,,,,,,111.40,0.00,111.40,0.00,0,,0.84
2020-01-10,111.27,111.36,109.14,109.14,2057534,109.03,,,,,,-1.95,,,,,,,0.00,109.14,,0.00,0,,1.00
2020-01-13,109.82,109.97,108.03,108.91,1950968,109.22,,,,,,-0.84,,,,,,,0.00,108.91,,0.00,0,,0.95
2020-01-14,108.88,109.99,108.25,109.52,1620841,109.21,,,,,,0.58,,,,,,,109.52,0.00,109.52,0.00,0,,0.79
2020-01-15,109.31,109.82,108.86,108.89,1364682,109.05,,,,,,-0.39,,,,,,,0.00,108.89,,0.00,0,,0.66
2020-01-16,108.57,109.20,108.22,109.20,1596188,109.69,,,,,,0.58,,,,,,,109.20,0.00,,0.00,0,,0.78
2020-01-17,109.70,110.17,109.46,110.17,2426127,110.04,,,,,,0.43,,,,,,,110.17,0.00,110.17,0.00,0,,1.18
2020-01-20,109.78,110.36,109.48,109.91,1050304,110.09,,,,,,0.12,,,,,,,0.00,109.91,,0.00,0,,0.51
2020-01-21,109.65,110.49,109.01,110.27,1244010,109.72,,,,,,0.56,,,,,,,110.27,0.00,110.27,0.00,0,,0.60
2020-01-22,110.40,111.08,109.10,109.16,1710320,108.96,,,,,,-1.14,,,,,,,0.00,109.16,,0.00,0,,0.83
2020-01-23,108.69,109.55,108.33,108.76,1667947,109.86,,,,,,0.06,,,,,,,0.00,108.76,,0.00,0,,0.81
2020-01-24,109.42,111.57,109.40,110.95,2244963,109.49,,,,,,1.38,,,,,,,110.95,0.00,110.95,0.00,0,,1.09
2020-01-27,109.52,109.63,107.88,108.03,2696175,108.29,,,,,,-1.38,,,,,,,0.00,108.03,,0.00,0,,1.31
2020-01-28,108.67,108.93,107.54,108.54,1840982,108.99,,,,,,-0.12,,,,,,,108.54,0.00,,0.00,0,,0.90
2020-01-29,108.46,109.78,108.22,109.44,1599366,108.23,109.61,109.61,110.91,108.30,-17.94,0.90,111.62,108.03,,,,,109.44,0.00,109.44,0.00,0,,0.78
2020-01-30,108.48,108.48,106.71,107.01,2039436,106.03,109.38,109.38,110.75,108.01,-241.82,-1.37,111.40,107.01,,,,,0.00,107.01,,0.00,0,,0.99
2020-01-31,107.16,107.41,104.83,105.04,2707006,104.84,109.16,109.16,111.08,107.23,-298.88,-2.02,111.40,105.04,,,,,0.00,105.04,,0.00,0,,1.32
2020-02-03,104.74,105.49,104.17,104.64,2381787,105.47,108.94,108.94,111.33,106.55,-251.66,-0.10,111.40,104.64,15.0,100.0,98.09,98.6,0.00,104.64,,0.00,0,,1.16
2020-02-04,105.43,106.30,105.06,106.30,2333942,106.65,108.77,108.77,111.28,106.26,-137.52,0.82,111.40,104.64,10.0,95.0,98.06,98.57,106.30,0.00,,0.00,0,,1.13
2020-02-05,104.60,107.60,103.85,106.99,3891885,106.44,108.61,108.61,111.15,106.08,-89.77,2.23,111.40,104.64,5.0,90.0,98.03,98.54,106.99,0.00,106.99,0.00,0,109.42,1.89
2020-02-06,108.03,108.14,105.14,105.88,3209423,105.70,108.34,108.34,110.83,105.84,-137.91,-2.03,110.95,104.64,0.0,85.0,98.0,98.51,0.00,105.88,,0.00,0,109.31,1.56
2020-02-07,105.61,106.27,104.95,105.51,2464001,105.51,108.16,108.16,110.79,105.53,-140.88,-0.09,110.95,104.64,50.0,80.0,98.3,98.48,0.00,105.51,,0.00,0,109.15,1.20
2020-02-10,105.22,105.96,105.12,105.51,1568163,106.07,107.99,107.99,110.73,105.24,-126.43,0.27,110.95,104.64,45.0,75.0,98.27,98.45,0.00,0.00,,0.00,0,108.95,0.76
2020-02-11,105.81,107.11,104.75,106.62,2472888,106.69,107.84,107.84,110.57,105.12,-62.74,0.76,110.95,104.64,40.0,70.0,98.24,98.42,106.62,0.00,,0.00,0,108.70,1.20
